,grad_norm,avg_grad_norm
35358,,
35359,,
35360,,
35361,,
35362,,
35363,,
35364,,
35365,,
35366,,
35367,,
35368,,
35369,,
35370,,
35371,,
35372,,
35373,,
35374,,
35375,,
35376,,
35377,,
35378,,
35379,,
35380,,
35381,,
35382,,
35383,,
35384,,
35385,,
35386,,
35387,,
35388,,
35389,,
35390,,
35391,,
35392,,
35393,,
35394,,
35395,,
35396,,
35397,,
35398,,
35399,,
35400,,
35401,,
35402,,
35403,,
35404,,
35405,,
35406,,
35407,,
35408,,
35409,,
35410,,
35411,,
35412,,
35413,,
35414,,
35415,,
35416,,
35417,,
35418,,
35419,,
35420,,
35421,,
35422,,
35423,,
35424,,
35425,,
35426,,
35427,,
35428,,
35429,,
35430,,
35431,,
35432,,
35433,,
35434,,
35435,,
35436,,
35437,,
35438,,
35439,,
35440,,
35441,,
35442,,
35443,,
35444,,
35445,,
35446,,
35447,,
35448,,
35449,,
35450,,
35451,,
35452,,
35453,,
35454,,
35455,,
35456,,
35457,,
35458,,
35459,,
35460,,
35461,,
35462,,
35463,,
35464,,
35465,,
35466,,
35467,,
35468,,
35469,,
35470,,
35471,,
35472,,
35473,,
35474,,
35475,,
35476,,
35477,,
35478,,
35479,,
35480,,
35481,,
35482,,
35483,,
35484,,
35485,,
35486,,
35487,,
35488,,
35489,,
35490,,
35491,,
35492,,
35493,,
35494,,
35495,,
35496,,
35497,,
35498,,
35499,,
35500,,
35501,,
35502,,
35503,,
35504,,
35505,,
35506,,
35507,,
35508,,
35509,,
35510,,
35511,,
35512,,
35513,,
35514,,
35515,,
35516,,
35517,,
35518,,
35519,,
35520,,
35521,,
35522,,
35523,,
35524,,
35525,,
35526,,
35527,,
35528,,
35529,,
35530,,
35531,,
35532,,
35533,,
35534,,
35535,,
35536,,
35537,,
35538,,
35539,,
35540,,
35541,,
35542,,
35543,,
35544,,
35545,,
35546,,
35547,,
35548,,
35549,,
35550,,
35551,,
35552,,
35553,,
35554,,
35555,,
35556,,
35557,,
35558,,
35559,,
35560,,
35561,,
35562,,
35563,,
35564,,
35565,,
35566,,
35567,,
35568,,
35569,,
35570,,
35571,,
35572,,
35573,,
35574,,
35575,,
35576,,
35577,,
35578,,
35579,,
35580,,
35581,,
35582,,
35583,,
35584,,
35585,,
35586,,
35587,,
35588,,
35589,,
35590,,
35591,,
35592,,
35593,,
35594,,
35595,,
35596,,
35597,,
35598,,
35599,,
35600,,
35601,,
35602,,
35603,,
35604,,
35605,,
35606,,
35607,,
35608,,
35609,,
35610,,
35611,,
35612,,
35613,,
35614,,
35615,,
35616,,
35617,,
35618,,
35619,,
35620,,
35621,,
35622,,
35623,,
35624,,
35625,,
35626,,
35627,,
35628,,
35629,,
35630,,
35631,,
35632,,
35633,,
35634,,
35635,,
35636,,
35637,,
35638,,
35639,,
35640,,
35641,,
35642,,
35643,,
35644,,
35645,,
35646,,
35647,,
35648,,
35649,,
35650,,
35651,,
35652,,
35653,,
35654,,
35655,,
35656,,
35657,,
35658,,
35659,,
35660,,
35661,,
35662,,
35663,,
35664,,
35665,,
35666,,
35667,,
35668,,
35669,,
35670,,
35671,,
35672,,
35673,,
35674,,
35675,,
35676,,
35677,,
35678,,
35679,,
35680,,
35681,,
35682,,
35683,,
35684,,
35685,,
35686,,
35687,,
35688,,
35689,,
35690,,
35691,,
35692,,
35693,,
35694,,
35695,,
35696,,
35697,,
35698,,
35699,,
35700,,
35701,,
35702,,
35703,,
35704,,
35705,,
35706,,
35707,,
35708,,
35709,,
35710,,
35711,,
35712,,
35713,,
35714,,
35715,,
35716,,
35717,,
35718,,
35719,,
35720,,
35721,,
35722,,
35723,,
35724,,
35725,,
35726,,
35727,,
35728,,
35729,,
35730,,
35731,,
35732,,
35733,,
35734,,
35735,,
35736,,
35737,,
35738,,
35739,,
35740,,
35741,,
35742,,
35743,,
35744,,
35745,,
35746,,
35747,,
35748,,
35749,,
35750,,
35751,,
35752,,
35753,,
35754,,
35755,,
35756,,
35757,,
35758,,
35759,,
35760,,
35761,,
35762,,
35763,,
35764,,
35765,,
35766,,
35767,,
35768,,
35769,,
35770,,
35771,,
35772,,
35773,,
35774,,
35775,,
35776,,
35777,,
35778,,
35779,,
35780,,
35781,,
35782,,
35783,,
35784,,
35785,,
35786,,
35787,,
35788,,
35789,,
35790,,
35791,,
35792,,
35793,,
35794,,
35795,,
35796,,
35797,,
35798,,
35799,,
35800,,
35801,,
35802,,
35803,,
35804,,
35805,,
35806,,
35807,,
35808,,
35809,,
35810,,
35811,,
35812,,
35813,,
35814,,
35815,,
35816,,
35817,,
35818,,
35819,,
35820,,
35821,,
35822,,
35823,,
35824,,
35825,,
35826,,
35827,,
35828,,
35829,,
35830,,
35831,,
35832,,
35833,,
35834,,
35835,,
35836,,
35837,,
35838,,
35839,,
35840,,
35841,,
35842,,
35843,,
35844,,
35845,,
35846,,
35847,,
35848,,
35849,,
35850,,
35851,,
35852,,
35853,,
35854,,
35855,,
35856,,
35857,,
35858,,
35859,,
35860,,
35861,,
35862,,
35863,,
35864,,
35865,,
35866,,
35867,,
35868,,
35869,,
35870,,
35871,,
35872,,
35873,,
35874,,
35875,,
35876,,
35877,,
35878,,
35879,,
35880,,
35881,,
35882,,
35883,,
35884,,
35885,,
35886,,
35887,,
35888,,
35889,,
35890,,
35891,,
35892,,
35893,,
35894,,
35895,,
35896,,
35897,,
35898,,
35899,,
35900,,
35901,,
35902,,
35903,,
35904,,
35905,,
35906,,
35907,,
35908,,
35909,,
35910,,
35911,,
35912,,
35913,,
35914,,
35915,,
35916,,
35917,,
35918,,
35919,,
35920,,
35921,,
35922,,
35923,,
35924,,
35925,,
35926,,
35927,,
35928,,
35929,,
35930,,
35931,,
35932,,
35933,,
35934,,
35935,,
35936,,
35937,,
35938,,
35939,,
35940,,
35941,,
35942,,
35943,,
35944,,
35945,,
35946,,
35947,,
35948,,
35949,,
35950,,
35951,,
35952,,
35953,,
35954,,
35955,,
35956,,
35957,,
35958,,
35959,,
35960,,
35961,,
35962,,
35963,,
35964,,
35965,,
35966,,
35967,,
35968,,
35969,,
35970,,
35971,,
35972,,
35973,,
35974,,
35975,,
35976,,
35977,,
35978,,
35979,,
35980,,
35981,,
35982,,
35983,,
35984,,
35985,,
35986,,
35987,,
35988,,
35989,,
35990,,
35991,,
35992,,
35993,,
35994,,
35995,,
35996,,
35997,,
35998,,
35999,,
36000,,
36001,,
36002,,
36003,,
36004,,
36005,,
36006,,
36007,,
36008,,
36009,,
36010,,
36011,,
36012,,
36013,,
36014,,
36015,,
36016,,
36017,,
36018,,
36019,,
36020,,
36021,,
36022,,
36023,,
36024,,
36025,,
36026,,
36027,,
36028,,
36029,,
36030,,
36031,,
36032,,
36033,,
36034,,
36035,,
36036,,
36037,,
36038,,
36039,,
36040,,
36041,,
36042,,
36043,,
36044,,
36045,,
36046,,
36047,,
36048,,
36049,,
36050,,
36051,,
36052,,
36053,,
36054,,
36055,,
36056,,
36057,,
36058,,
36059,,
36060,,
36061,,
36062,,
36063,,
36064,,
36065,,
36066,,
36067,,
36068,,
36069,,
36070,,
36071,,
36072,,
36073,,
36074,,
36075,,
36076,,
36077,,
36078,,
36079,,
36080,,
36081,,
36082,,
36083,,
36084,,
36085,,
36086,,
36087,,
36088,,
36089,,
36090,,
36091,,
36092,,
36093,,
36094,,
36095,,
36096,,
36097,,
36098,,
36099,,
36100,,
36101,,
36102,,
36103,,
36104,,
36105,,
36106,,
36107,,
36108,,
36109,,
36110,,
36111,,
36112,,
36113,,
36114,,
36115,,
36116,,
36117,,
36118,,
36119,,
36120,,
36121,,
36122,,
36123,,
36124,,
36125,,
36126,,
36127,,
36128,,
36129,,
36130,,
36131,,
36132,,
36133,,
36134,,
36135,,
36136,,
36137,,
36138,,
36139,,
36140,,
36141,,
36142,,
36143,,
36144,,
36145,,
36146,,
36147,,
36148,,
36149,,
36150,,
36151,,
36152,,
36153,,
36154,,
36155,,
36156,,
36157,,
36158,,
36159,,
36160,,
36161,,
36162,,
36163,,
36164,,
36165,,
36166,,
36167,,
36168,,
36169,,
36170,,
36171,,
36172,,
36173,,
36174,,
36175,,
36176,,
36177,,
36178,,
36179,,
36180,,
36181,,
36182,,
36183,,
36184,,
36185,,
36186,,
36187,,
36188,,
36189,,
36190,,
36191,,
36192,,
36193,,
36194,,
36195,,
36196,,
36197,,
36198,,
36199,,
36200,,
36201,,
36202,,
36203,,
36204,,
36205,,
36206,,
36207,,
36208,,
36209,,
36210,,
36211,,
36212,,
36213,,
36214,,
36215,,
36216,,
36217,,
36218,,
36219,,
36220,,
36221,,
36222,,
36223,,
36224,,
36225,,
36226,,
36227,,
36228,,
36229,,
36230,,
36231,,
36232,,
36233,,
36234,,
36235,,
36236,,
36237,,
36238,,
36239,,
36240,,
36241,,
36242,,
36243,,
36244,,
36245,,
36246,,
36247,,
36248,,
36249,,
36250,,
36251,,
36252,,
36253,,
36254,,
36255,,
36256,,
36257,,
36258,,
36259,,
36260,,
36261,,
36262,,
36263,,
36264,,
36265,,
36266,,
36267,,
36268,,
36269,,
36270,,
36271,,
36272,,
36273,,
36274,,
36275,,
36276,,
36277,,
36278,,
36279,,
36280,,
36281,,
36282,,
36283,,
36284,,
36285,,
36286,,
36287,,
36288,,
36289,,
36290,,
36291,,
36292,,
36293,,
36294,,
36295,,
36296,,
36297,,
36298,,
36299,,
36300,,
36301,,
36302,,
36303,,
36304,,
36305,,
36306,,
36307,,
36308,,
36309,,
36310,,
36311,,
36312,,
36313,,
36314,,
36315,,
36316,,
36317,,
36318,,
36319,,
36320,,
36321,,
36322,,
36323,,
36324,,
36325,,
36326,,
36327,,
36328,,
36329,,
36330,,
36331,,
36332,,
36333,,
36334,,
36335,,
36336,,
36337,,
36338,,
36339,,
36340,,
36341,,
36342,,
36343,,
36344,,
36345,,
36346,,
36347,,
36348,,
36349,,
36350,,
36351,,
36352,,
36353,,
36354,,
36355,,
36356,,
36357,,
36358,,
36359,,
36360,,
36361,,
36362,,
36363,,
36364,,
36365,,
36366,,
36367,,
36368,,
36369,,
36370,,
36371,,
36372,,
36373,,
36374,,
36375,,
36376,,
36377,,
36378,,
36379,,
36380,,
36381,,
36382,,
36383,,
36384,,
36385,,
36386,,
36387,,
36388,,
36389,,
36390,,
36391,,
36392,,
36393,,
36394,,
36395,,
36396,,
36397,,
36398,,
36399,,
36400,,
36401,,
36402,,
36403,,
36404,,
36405,,
36406,,
36407,,
36408,,
36409,,
36410,,
36411,,
36412,,
36413,,
36414,,
36415,,
36416,,
36417,,
36418,,
36419,,
36420,,
36421,,
36422,,
36423,,
36424,,
36425,,
36426,,
36427,,
36428,,
36429,,
36430,,
36431,,
36432,,
36433,,
36434,,
36435,,
36436,,
36437,,
36438,,
36439,,
36440,,
36441,,
36442,,
36443,,
36444,,
36445,,
36446,,
36447,,
36448,,
36449,,
36450,,
36451,,
36452,,
36453,,
36454,,
36455,,
36456,,
36457,,
36458,,
36459,,
36460,,
36461,,
36462,,
36463,,
36464,,
36465,,
36466,,
36467,,
36468,,
36469,,
36470,,
36471,,
36472,,
36473,,
36474,,
36475,,
36476,,
36477,,
36478,,
36479,,
36480,,
36481,,
36482,,
36483,,
36484,,
36485,,
36486,,
36487,,
36488,,
36489,,
36490,,
36491,,
36492,,
36493,,
36494,,
36495,,
36496,,
36497,,
36498,,
36499,,
36500,,
36501,,
36502,,
36503,,
36504,,
36505,,
36506,,
36507,,
36508,,
36509,,
36510,,
36511,,
36512,,
36513,,
36514,,
36515,,
36516,,
36517,,
36518,,
36519,,
36520,,
36521,,
36522,,
36523,,
36524,,
36525,,
36526,,
36527,,
36528,,
36529,,
36530,,
36531,,
36532,,
36533,,
36534,,
36535,,
36536,,
36537,,
36538,,
36539,,
36540,,
36541,,
36542,,
36543,,
36544,,
36545,,
36546,,
36547,,
36548,,
36549,,
36550,,
36551,,
36552,,
36553,,
36554,,
36555,,
36556,,
36557,,
36558,,
36559,,
36560,,
36561,,
36562,,
36563,,
36564,,
36565,,
36566,,
36567,,
36568,,
36569,,
36570,,
36571,,
36572,,
36573,,
36574,,
36575,,
36576,,
36577,,
36578,,
36579,,
36580,,
36581,,
36582,,
36583,,
36584,,
36585,,
36586,,
36587,,
36588,,
36589,,
36590,,
36591,,
36592,,
36593,,
36594,,
36595,,
36596,,
36597,,
36598,,
36599,,
36600,,
36601,,
36602,,
36603,,
36604,,
36605,,
36606,,
36607,,
36608,,
36609,,
36610,,
36611,,
36612,,
36613,,
36614,,
36615,,
36616,,
36617,,
36618,,
36619,,
36620,,
36621,,
36622,,
36623,,
36624,,
36625,,
36626,,
36627,,
36628,,
36629,,
36630,,
36631,,
36632,,
36633,,
36634,,
36635,,
36636,,
36637,,
36638,,
36639,,
36640,,
36641,,
36642,,
36643,,
36644,,
36645,,
36646,,
36647,,
36648,,
36649,,
36650,,
36651,,
36652,,
36653,,
36654,,
36655,,
36656,,
36657,,
36658,,
36659,,
36660,,
36661,,
36662,,
36663,,
36664,,
36665,,
36666,,
36667,,
36668,,
36669,,
36670,,
36671,,
36672,,
36673,,
36674,,
36675,,
36676,,
36677,,
36678,,
36679,,
36680,,
36681,,
36682,,
36683,,
36684,,
36685,,
36686,,
36687,,
36688,,
36689,,
36690,,
36691,,
36692,,
36693,,
36694,,
36695,,
36696,,
36697,,
36698,,
36699,,
36700,,
36701,,
36702,,
36703,,
36704,,
36705,,
36706,,
36707,,
36708,,
36709,,
36710,,
36711,,
36712,,
36713,,
36714,,
36715,,
36716,,
36717,,
36718,,
36719,,
36720,,
36721,,
36722,,
36723,,
36724,,
36725,,
36726,,
36727,,
36728,,
36729,,
36730,,
36731,,
36732,,
36733,,
36734,,
36735,,
36736,,
36737,,
36738,,
36739,,
36740,,
36741,,
36742,,
36743,,
36744,,
36745,,
36746,,
36747,,
36748,,
36749,,
36750,,
36751,,
36752,,
36753,,
36754,,
36755,,
36756,,
36757,,
36758,,
36759,,
36760,,
36761,,
36762,,
36763,,
36764,,
36765,,
36766,,
36767,,
36768,,
36769,,
36770,,
36771,,
36772,,
36773,,
36774,,
36775,,
36776,,
36777,,
36778,,
36779,,
36780,,
36781,,
36782,,
36783,,
36784,,
36785,,
36786,,
36787,,
36788,,
36789,,
36790,,
36791,,
36792,,
36793,,
36794,,
36795,,
36796,,
36797,,
36798,,
36799,,
36800,,
36801,,
36802,,
36803,,
36804,,
36805,,
36806,,
36807,,
36808,,
36809,,
36810,,
36811,,
36812,,
36813,,
36814,,
36815,,
36816,,
36817,,
36818,,
36819,,
36820,,
36821,,
36822,,
36823,,
36824,,
36825,,
36826,,
36827,,
36828,,
36829,,
36830,,
36831,,
36832,,
36833,,
36834,,
36835,,
36836,,
36837,,
36838,,
36839,,
36840,,
36841,,
36842,,
36843,,
36844,,
36845,,
36846,,
36847,,
36848,,
36849,,
36850,,
36851,,
36852,,
36853,,
36854,,
36855,,
36856,,
36857,,
36858,,
36859,,
36860,,
36861,,
36862,,
36863,,
36864,,
36865,,
36866,,
36867,,
36868,,
36869,,
36870,,
36871,,
36872,,
36873,,
36874,,
36875,,
36876,,
36877,,
36878,,
36879,,
36880,,
36881,,
36882,,
36883,,
36884,,
36885,,
36886,,
36887,,
36888,,
36889,,
36890,,
36891,,
36892,,
36893,,
36894,,
36895,,
36896,,
36897,,
36898,,
36899,,
36900,,
36901,,
36902,,
36903,,
36904,,
36905,,
36906,,
36907,,
36908,,
36909,,
36910,,
36911,,
36912,,
36913,,
36914,,
36915,,
36916,,
36917,,
36918,,
36919,,
36920,,
36921,,
36922,,
36923,,
36924,,
36925,,
36926,,
36927,,
36928,,
36929,,
36930,,
36931,,
36932,,
36933,,
36934,,
36935,,
36936,,
36937,,
36938,,
36939,,
36940,,
36941,,
36942,,
36943,,
36944,,
36945,,
36946,,
36947,,
36948,,
36949,,
36950,,
36951,,
36952,,
36953,,
36954,,
36955,,
36956,,
36957,,
36958,,
36959,,
36960,,
36961,,
36962,,
36963,,
36964,,
36965,,
36966,,
36967,,
36968,,
36969,,
36970,,
36971,,
36972,,
36973,,
36974,,
36975,,
36976,,
36977,,
36978,,
36979,,
36980,,
36981,,
36982,,
36983,,
36984,,
36985,,
36986,,
36987,,
36988,,
36989,,
36990,,
36991,,
36992,,
36993,,
36994,,
36995,,
36996,,
36997,,
36998,,
36999,,
37000,,
37001,,
37002,,
37003,,
37004,,
37005,,
37006,,
37007,,
37008,,
37009,,
37010,,
37011,,
37012,,
37013,,
37014,,
37015,,
37016,,
37017,,
37018,,
37019,,
37020,,
37021,,
37022,,
37023,,
37024,,
37025,,
37026,,
37027,,
37028,,
37029,,
37030,,
37031,,
37032,,
37033,,
37034,,
37035,,
37036,,
37037,,
37038,,
37039,,
37040,,
37041,,
37042,,
37043,,
37044,,
37045,,
37046,,
37047,,
37048,,
37049,,
37050,,
37051,,
37052,,
37053,,
37054,,
37055,,
37056,,
37057,,
37058,,
37059,,
37060,,
37061,,
37062,,
37063,,
37064,,
37065,,
37066,,
37067,,
37068,,
37069,,
37070,,
37071,,
37072,,
37073,,
37074,,
37075,,
37076,,
37077,,
37078,,
37079,,
37080,,
37081,,
37082,,
37083,,
37084,,
37085,,
37086,,
37087,,
37088,,
37089,,
37090,,
37091,,
37092,,
37093,,
37094,,
37095,,
37096,,
37097,,
37098,,
37099,,
37100,,
37101,,
37102,,
37103,,
37104,,
37105,,
37106,,
37107,,
37108,,
37109,,
37110,,
37111,,
37112,,
37113,,
37114,,
37115,,
37116,,
37117,,
37118,,
37119,,
37120,,
37121,,
37122,,
37123,,
37124,,
37125,,
37126,,
37127,,
37128,,
37129,,
37130,,
37131,,
37132,,
37133,,
37134,,
37135,,
37136,,
37137,,
37138,,
37139,,
37140,,
37141,,
37142,,
37143,,
37144,,
37145,,
37146,,
37147,,
37148,,
37149,,
37150,,
37151,,
37152,,
37153,,
37154,,
37155,,
37156,,
37157,,
37158,,
37159,,
37160,,
37161,,
37162,,
37163,,
37164,,
37165,,
37166,,
37167,,
37168,,
37169,,
37170,,
37171,,
37172,,
37173,,
37174,,
37175,,
37176,,
37177,,
37178,,
37179,,
37180,,
37181,,
37182,,
37183,,
37184,,
37185,,
37186,,
37187,,
37188,,
37189,,
37190,,
37191,,
37192,,
37193,,
37194,,
37195,,
37196,,
37197,,
37198,,
37199,,
37200,,
37201,,
37202,,
37203,,
37204,,
37205,,
37206,,
37207,,
37208,,
37209,,
37210,,
37211,,
37212,,
37213,,
37214,,
37215,,
37216,,
37217,,
37218,,
37219,,
37220,,
37221,,
37222,,
37223,,
37224,,
37225,,
37226,,
37227,,
37228,,
37229,,
37230,,
37231,,
37232,,
37233,,
37234,,
37235,,
37236,,
37237,,
37238,,
37239,,
37240,,
37241,,
37242,,
37243,,
37244,,
37245,,
37246,,
37247,,
37248,,
37249,,
37250,,
37251,,
37252,,
37253,,
37254,,
37255,,
37256,,
37257,,
37258,,
37259,,
37260,,
37261,,
37262,,
37263,,
37264,,
37265,,
37266,,
37267,,
37268,,
37269,,
37270,,
37271,,
37272,,
37273,,
37274,,
37275,,
37276,,
37277,,
37278,,
37279,,
37280,,
37281,,
37282,,
37283,,
37284,,
37285,,
37286,,
37287,,
37288,,
37289,,
37290,,
37291,,
37292,,
37293,,
37294,,
37295,,
37296,,
37297,,
37298,,
37299,,
37300,,
37301,,
37302,,
37303,,
37304,,
37305,,
37306,,
37307,,
37308,,
37309,,
37310,,
37311,,
37312,,
37313,,
37314,,
37315,,
37316,,
37317,,
37318,,
37319,,
37320,,
37321,,
37322,,
37323,,
37324,,
37325,,
37326,,
37327,,
37328,,
37329,,
37330,,
37331,,
37332,,
37333,,
37334,,
37335,,
37336,,
37337,,
37338,,
37339,,
37340,,
37341,,
37342,,
37343,,
37344,,
37345,,
37346,,
37347,,
37348,,
37349,,
37350,,
37351,,
37352,,
37353,,
37354,,
37355,,
37356,,
37357,,
37358,,
37359,,
37360,,
37361,,
37362,,
37363,,
37364,,
37365,,
37366,,
37367,,
37368,,
37369,,
37370,,
37371,,
37372,,
37373,,
37374,,
37375,,
37376,,
37377,,
37378,,
37379,,
37380,,
37381,,
37382,,
37383,,
37384,,
37385,,
37386,,
37387,,
37388,,
37389,,
37390,,
37391,,
37392,,
37393,,
37394,,
37395,,
37396,,
37397,,
37398,,
37399,,
37400,,
37401,,
37402,,
37403,,
37404,,
37405,,
37406,,
37407,,
37408,,
37409,,
37410,,
37411,,
37412,,
37413,,
37414,,
37415,,
37416,,
37417,,
37418,,
37419,,
37420,,
37421,,
37422,,
37423,,
37424,,
37425,,
37426,,
37427,,
37428,,
37429,,
37430,,
37431,,
37432,,
37433,,
37434,,
37435,,
37436,,
37437,,
37438,,
37439,,
37440,,
37441,,
37442,,
37443,,
37444,,
37445,,
37446,,
37447,,
37448,,
37449,,
37450,,
37451,,
37452,,
37453,,
37454,,
37455,,
37456,,
37457,,
37458,,
37459,,
37460,,
37461,,
37462,,
37463,,
37464,,
37465,,
37466,,
37467,,
37468,,
37469,,
37470,,
37471,,
37472,,
37473,,
37474,,
37475,,
37476,,
37477,,
37478,,
37479,,
37480,,
37481,,
37482,,
37483,,
37484,,
37485,,
37486,,
37487,,
37488,,
37489,,
37490,,
37491,,
37492,,
37493,,
37494,,
37495,,
37496,,
37497,,
37498,,
37499,,
37500,,
37501,,
37502,,
37503,,
37504,,
37505,,
37506,,
37507,,
37508,,
37509,,
37510,,
37511,,
37512,,
37513,,
37514,,
37515,,
37516,,
37517,,
37518,,
37519,,
37520,,
37521,,
37522,,
37523,,
37524,,
37525,,
37526,,
37527,,
37528,,
37529,,
37530,,
37531,,
37532,,
37533,,
37534,,
37535,,
37536,,
37537,,
37538,,
37539,,
37540,,
37541,,
37542,,
37543,,
37544,,
37545,,
37546,,
37547,,
37548,,
37549,,
37550,,
37551,,
37552,,
37553,,
37554,,
37555,,
37556,,
37557,,
37558,,
37559,,
37560,,
37561,,
37562,,
37563,,
37564,,
37565,,
37566,,
37567,,
37568,,
37569,,
37570,,
37571,,
37572,,
37573,,
37574,,
37575,,
37576,,
37577,,
37578,,
37579,,
37580,,
37581,,
37582,,
37583,,
37584,,
37585,,
37586,,
37587,,
37588,,
37589,,
37590,,
37591,,
37592,,
37593,,
37594,,
37595,,
37596,,
37597,,
37598,,
37599,,
37600,,
37601,,
37602,,
37603,,
37604,,
37605,,
37606,,
37607,,
37608,,
37609,,
37610,,
37611,,
37612,,
37613,,
37614,,
37615,,
37616,,
37617,,
37618,,
37619,,
37620,,
37621,,
37622,,
37623,,
37624,,
37625,,
37626,,
37627,,
37628,,
37629,,
37630,,
37631,,
37632,,
37633,,
37634,,
37635,,
37636,,
37637,,
37638,,
37639,,
37640,,
37641,,
37642,,
37643,,
37644,,
37645,,
37646,,
37647,,
37648,,
37649,,
37650,,
37651,,
37652,,
37653,,
37654,,
37655,,
37656,,
37657,,
37658,,
37659,,
37660,,
37661,,
37662,,
37663,,
37664,,
37665,,
37666,,
37667,,
37668,,
37669,,
37670,,
37671,,
37672,,
37673,,
37674,,
37675,,
37676,,
37677,,
37678,,
37679,,
37680,,
37681,,
37682,,
37683,,
37684,,
37685,,
37686,,
37687,,
37688,,
37689,,
37690,,
37691,,
37692,,
37693,,
37694,,
37695,,
37696,,
37697,,
37698,,
37699,,
37700,,
37701,,
37702,,
37703,,
37704,,
37705,,
37706,,
37707,,
37708,,
37709,,
37710,,
37711,,
37712,,
37713,,
37714,,
37715,,
37716,,
37717,,
37718,,
37719,,
37720,,
37721,,
37722,,
37723,,
37724,,
37725,,
37726,,
37727,,
37728,,
37729,,
37730,,
37731,,
37732,,
37733,,
37734,,
37735,,
37736,,
37737,,
37738,,
37739,,
37740,,
37741,,
37742,,
37743,,
37744,,
37745,,
37746,,
37747,,
37748,,
37749,,
37750,,
37751,,
37752,,
37753,,
37754,,
37755,,
37756,,
37757,,
37758,,
37759,,
37760,,
37761,,
37762,,
37763,,
37764,,
37765,,
37766,,
37767,,
37768,,
37769,,
37770,,
37771,,
37772,,
37773,,
37774,,
37775,,
37776,,
37777,,
37778,,
37779,,
37780,,
37781,,
37782,,
37783,,
37784,,
37785,,
37786,,
37787,,
37788,,
37789,,
37790,,
37791,,
37792,,
37793,,
37794,,
37795,,
37796,,
37797,,
37798,,
37799,,
37800,,
37801,,
37802,,
37803,,
37804,,
37805,,
37806,,
37807,,
37808,,
37809,,
37810,,
37811,,
37812,,
37813,,
37814,,
37815,,
37816,,
37817,,
37818,,
37819,,
37820,,
37821,,
37822,,
37823,,
37824,,
37825,,
37826,,
37827,,
37828,,
37829,,
37830,,
37831,,
37832,,
37833,,
37834,,
37835,,
37836,,
37837,,
37838,,
37839,,
37840,,
37841,,
37842,,
37843,,
37844,,
37845,,
37846,,
37847,,
37848,,
37849,,
37850,,
37851,,
37852,,
37853,,
37854,,
37855,,
37856,,
37857,,
37858,,
37859,,
37860,,
37861,,
37862,,
37863,,
37864,,
37865,,
37866,,
37867,,
37868,,
37869,,
37870,,
37871,,
37872,,
37873,,
37874,,
37875,,
37876,,
37877,,
37878,,
37879,,
37880,,
37881,,
37882,,
37883,,
37884,,
37885,,
37886,,
37887,,
37888,,
37889,,
37890,,
37891,,
37892,,
37893,,
37894,,
37895,,
37896,,
37897,,
37898,,
37899,,
37900,,
37901,,
37902,,
37903,,
37904,,
37905,,
37906,,
37907,,
37908,,
37909,,
37910,,
37911,,
37912,,
37913,,
37914,,
37915,,
37916,,
37917,,
37918,,
37919,,
37920,,
37921,,
37922,,
37923,,
37924,,
37925,,
37926,,
37927,,
37928,,
37929,,
37930,,
37931,,
37932,,
37933,,
37934,,
37935,,
37936,,
37937,,
37938,,
37939,,
37940,,
37941,,
37942,,
37943,,
37944,,
37945,,
37946,,
37947,,
37948,,
37949,,
37950,,
37951,,
37952,,
37953,,
37954,,
37955,,
37956,,
37957,,
37958,,
37959,,
37960,,
37961,,
37962,,
37963,,
37964,,
37965,,
37966,,
37967,,
37968,,
37969,,
37970,,
37971,,
37972,,
37973,,
37974,,
37975,,
37976,,
37977,,
37978,,
37979,,
37980,,
37981,,
37982,,
37983,,
37984,,
37985,,
37986,,
37987,,
37988,,
37989,,
37990,,
37991,,
37992,,
37993,,
37994,,
37995,,
37996,,
37997,,
37998,,
37999,,
38000,,
38001,,
38002,,
38003,,
38004,,
38005,,
38006,,
38007,,
38008,,
38009,,
38010,,
38011,,
38012,,
38013,,
38014,,
38015,,
38016,,
38017,,
38018,,
38019,,
38020,,
38021,,
38022,,
38023,,
38024,,
38025,,
38026,,
38027,,
38028,,
38029,,
38030,,
38031,,
38032,,
38033,,
38034,,
38035,,
38036,,
38037,,
38038,,
38039,,
38040,,
38041,,
38042,,
38043,,
38044,,
38045,,
38046,,
38047,,
38048,,
38049,,
38050,,
38051,,
38052,,
38053,,
38054,,
38055,,
38056,,
38057,,
38058,,
38059,,
38060,,
38061,,
38062,,
38063,,
38064,,
38065,,
38066,,
38067,,
38068,,
38069,,
38070,,
38071,,
38072,,
38073,,
38074,,
38075,,
38076,,
38077,,
38078,,
38079,,
38080,,
38081,,
38082,,
38083,,
38084,,
38085,,
38086,,
38087,,
38088,,
38089,,
38090,,
38091,,
38092,,
38093,,
38094,,
38095,,
38096,,
38097,,
38098,,
38099,,
38100,,
38101,,
38102,,
38103,,
38104,,
38105,,
38106,,
38107,,
38108,,
38109,,
38110,,
38111,,
38112,,
38113,,
38114,,
38115,,
38116,,
38117,,
38118,,
38119,,
38120,,
38121,,
38122,,
38123,,
38124,,
38125,,
38126,,
38127,,
38128,,
38129,,
38130,,
38131,,
38132,,
38133,,
38134,,
38135,,
38136,,
38137,,
38138,,
38139,,
38140,,
38141,,
38142,,
38143,,
38144,,
38145,,
38146,,
38147,,
38148,,
38149,,
38150,,
38151,,
38152,,
38153,,
